City,Country,Lat,Lng,Date,Temp,Humidity,Cloudiness,Wind Speed
broome,au,-19.361912787773406,121.55685913473121,1530988124,63.18,35,0,13
lebu,cl,-36.701650985084584,-96.81489457248344,1530988124,59.58,96,92,16.02
busselton,au,-89.11146914248327,82.61474408127697,1530988125,-74.8,0,8,16.02
salinopolis,br,5.414658121178107,-44.70187741090868,1530988125,81.45,100,80,11.77
hobart,au,-88.25910543747408,134.5426808779967,1530988125,-91.63,0,0,11.43
safford,us,33.47267992986319,-109.7371453742568,1530985860,96.8,23,1,10.29
souillac,mu,-56.548458612568936,75.29260054691713,1530988125,29.07,100,64,22.39
ushuaia,ar,-68.05295346460117,-56.3098514271429,1530988125,-17.11,50,0,11.43
kabare,cd,-3.048287141423046,27.88366772788632,1530988125,73.17,54,32,2.59
albany,au,-61.62381020308369,103.93373748707069,1530988126,20.97,100,76,26.98
qaanaaq,gl,86.17334201516087,-73.77987380161063,1530988126,30.78,100,64,14.45
norman wells,ca,63.486725158969364,-124.6584480879549,1530988126,56.52,80,64,4.38
kodiak,us,49.23041962970777,-156.60989539550275,1530988126,51.12,92,100,26.87
hasaki,jp,33.94112732461326,143.83934768075892,1530988126,78.93,96,88,12.33
port hedland,au,-18.719805673568004,119.90148023114807,1530988126,77.58,98,0,19.48
cherskiy,ru,74.22234764532854,164.39128322541006,1530988126,30.87,99,80,18.48
bethel,us,48.428645382617134,-163.14979320650107,1530988127,50.58,92,92,28.54
idritsa,ru,55.973718696926795,29.00138140772546,1530988127,68.4,70,12,15.23
slave lake,ca,57.444067010205885,-114.74564163310541,1530988127,49.14,100,92,9.53
hastings,us,40.03820642862411,-98.6200554043738,1530985980,84.2,66,40,12.75
sao filipe,cv,8.772823003977436,-24.2707000303146,1530988127,78.39,100,80,7.52
fort nelson,ca,62.01882386780733,-122.75511580380778,1530988127,59.22,49,24,2.93
butaritari,ki,13.463664171292677,169.0379729825013,1530988127,82.35,100,88,20.83
grand island,us,42.28520848954466,-99.06946910754444,1530987300,89.6,52,1,14.99
ambon,id,-3.1009689735852106,126.9660050181875,1530988128,77.76,100,44,15.23
ola,ru,56.767993259922974,151.28637171011326,1530988128,50.31,96,0,15.35
saint-philippe,re,-31.688789185481028,59.464019500361985,1530988128,62.73,100,68,14.79
tiksi,ru,81.34025348323271,121.65222082289011,1530988128,32.58,98,80,19.82
hilo,us,25.099784379998468,-147.5338113839013,1530988128,73.35,100,24,18.81
bengkulu,id,-15.734023764838142,91.6161903820759,1530988128,78.12,100,64,17.02
dikson,ru,75.14350798398581,81.31595430139436,1530988128,32.85,92,0,16.58
antofagasta,cl,-23.739649338744314,-79.69211542095805,1530988129,63.09,100,0,17.69
puerto baquerizo moreno,ec,4.917327350116793,-88.55501848944945,1530988129,79.02,100,80,11.21
punta arenas,cl,-78.61559618184879,-98.98542052792452,1530988129,-38.26,0,0,2.04
atlantic beach,us,30.540768410302576,-80.05268522248677,1530988129,83.52,100,0,2.26
adrar,dz,25.137376290659603,1.2269189919299492,1530988129,109.98,6,8,10.87
moron,mn,49.414661763826786,101.1686318336944,1530988129,42.66,96,44,2.82
rikitea,pf,-50.29997386944711,-113.86328871027018,1530988129,42.66,100,88,28.77
hithadhoo,mv,-9.027138462634696,83.29838303840609,1530988129,79.47,100,68,18.25
tuatapere,nz,-51.1516878832908,158.73942559926485,1530988130,44.55,100,88,15.01
kloulklubed,pw,5.338365297196276,132.26861481550196,1530988130,79.02,100,64,13.78
tuktoyaktuk,ca,74.18900882402386,-137.07930186079736,1530988130,31.77,98,88,21.39
mar del plata,ar,-47.50624607725015,-47.48962218986219,1530988130,45.45,100,36,22.5
clyde river,ca,70.35465944661442,-75.33464457788543,1530988130,36,87,92,4.94
attawapiskat,ca,58.13169982707166,-78.21716772827294,1530986400,50,71,1,20.8
severo-kurilsk,ru,34.788313993457024,165.52318230107062,1530988130,73.08,100,92,10.09
khatanga,ru,71.92992659751596,105.86340924366061,1530988131,47.34,67,48,5.73
aleksandrov gay,ru,48.81163288316657,49.3251831993004,1530988131,78.84,42,24,5.84
arraial do cabo,br,-35.45025989489071,-24.91575954467774,1530988131,55.89,100,36,24.18
saint george,bm,37.87175922266789,-63.27997606887597,1530988131,79.02,98,20,24.85
srednekolymsk,ru,71.95156023409493,154.04181790912395,1530988131,31.14,98,56,9.42
vaini,to,-44.685162510639756,-173.67076464431113,1530988131,54.45,98,100,20.71
goedereede,nl,51.91012968903479,3.968046060352947,1530986100,68.34,72,0,16.11
vanavara,ru,59.32887394532301,102.13033104550846,1530988132,54,68,68,4.5
cidreira,br,-33.48237749089537,-45.62336081373121,1530988132,56.7,100,92,30.44
castro,cl,-53.59859306938491,-101.37760397893794,1530988132,42.84,96,92,10.76
nanortalik,gl,53.42763506024727,-45.52173471944354,1530988132,47.97,89,88,25.3
honningsvag,no,74.41349485365751,26.741637892014495,1530988132,44.28,95,92,6.73
sembakung,id,2.3844781377698894,115.60174584680732,1530988132,69.03,96,48,0.92
hermanus,za,-66.39966602929624,5.348902330426398,1530988132,23.04,90,80,26.42
floriano,br,-6.556089812002099,-43.17285927764436,1530988132,90.36,38,88,10.65
atuona,pf,1.5435344824023787,-141.33315877691166,1530988133,79.2,100,88,15.23
launceston,au,-41.72056787201802,149.00984801113202,1530988133,51.93,100,0,38.16
belushya guba,ru,77.58085569907149,56.00636301903526,1530988133,34.2,100,44,5.5
kruisfontein,za,-49.99500070045946,25.56740421335917,1530988133,38.25,91,64,18.03
onguday,ru,51.11655507759633,86.83313051432253,1530988133,46.17,77,0,2.71
marzuq,ly,23.965394294317278,16.41402408107919,1530988133,95.04,18,0,9.98
jamestown,sh,-39.96548484084068,-7.770694096204323,1530988133,47.52,100,92,15.23
airai,pw,7.67417270431271,139.92581370708842,1530988134,82.08,100,64,16.24
sakata,jp,38.994926192018056,139.46649516041202,1530988134,68.31,97,100,10.54
san joaquin,bo,-18.909302443488542,-59.33732839109588,1530988134,89.01,41,0,11.65
barrow,us,66.11935369852208,-154.6123495977447,1530986100,60.8,67,1,6.93
illoqqortoormiut,gl,88.09427624666839,-27.81864904361663,1530988134,33.75,94,0,20.38
barnsley,gb,53.62156327206998,-1.4295654394980772,1530985800,77,44,0,10.29
deputatskiy,ru,69.09970803409556,141.07352212559027,1530988134,62.64,73,36,8.63
ulladulla,au,-39.39005030306483,157.81304839360024,1530988134,56.88,100,32,31.12
port hardy,ca,44.96774114876874,-138.4411457365135,1530988135,55.08,100,88,8.19
port macquarie,au,-33.2127303292113,156.28222853058105,1530988135,63.63,100,88,34.02
new norfolk,au,-55.72144104838507,141.35579088764456,1530988135,35.55,100,32,34.02
puerto suarez,bo,-18.99271466346785,-58.376276473973334,1530986400,87.8,48,20,9.17
georgetown,sh,-9.896972882017607,-11.742080931484452,1530988135,74.07,100,56,13.67
kovdor,ru,68.0915381696447,30.058327603553465,1530988135,63.54,52,44,6.62
nevelsk,ru,46.70541083452605,142.09764390243055,1530986400,46.4,93,90,4.47
thompson,ca,69.83288642435005,-90.52325581712515,1530986400,41,100,92,17.22
pevek,ru,78.34010708533836,170.92992519243876,1530988136,32.94,98,88,30.67
victoria,sc,-6.93745017477012,61.013621419413795,1530988136,77.67,100,92,15.46
blagoyevo,ru,64.28596311457056,47.250278949527825,1530988136,65.52,85,48,2.04
aykhal,ru,66.17433476571645,108.63107342017776,1530988136,38.25,90,20,3.38
vestmannaeyjar,is,57.903517707819304,-19.23296601474945,1530988136,51.93,100,20,17.25
mergui,mm,11.769278219800796,97.71543684518286,1530988136,81.63,100,88,16.46
abu dhabi,ae,21.87672279835192,53.113411270834945,1530988137,95.76,35,0,8.63
mataura,pf,-68.72654916390269,-151.72326016523593,1530988137,13.32,88,80,5.5
wyndham,nz,-46.68286567722459,168.79342895861168,1530988137,51.3,91,44,15.12
vila velha,br,-26.417055876930583,-29.20919450302239,1530988137,67.32,100,0,14.23
hambantota,lk,5.023831897922946,83.35088226183495,1530988137,79.29,100,88,24.18
husavik,is,75.57158132053752,-8.26620425790503,1530988137,40.23,97,80,2.59
williston,us,48.85647912579768,-103.72968659211733,1530987300,86.77,31,1,14.99
lolua,tv,-6.21392494582571,175.11597663493222,1530988138,83.52,100,80,13.33
isangel,vu,-17.789664985355287,174.34369167402832,1530988138,75.6,100,44,22.5
haines junction,ca,60.49475329825003,-137.71108229614347,1530988138,52.74,79,24,1.36
sur,om,15.945961487702618,62.86999662232762,1530988138,82.17,96,88,27.76
chuy,uy,-54.98647328360894,-32.96776466300673,1530988138,31.77,99,88,24.85
marcona,pe,-25.663519057504118,-87.4208512378273,1530988138,63.9,100,32,13.78
pahrump,us,38.127806165802525,-116.03601545694339,1530988138,89.64,10,24,3.38
esperance,au,-40.265879309131385,127.46067371995423,1530988138,52.11,100,92,14
kavaratti,in,12.864642898311843,71.81529096413959,1530988139,80.82,100,80,24.52
bend,us,44.19554355356385,-122.1297192725801,1530988139,68.67,43,0,2.59
bluff,nz,-88.73433937630955,169.70664331571243,1530988139,-86.05,0,0,12.1
san cristobal,ec,-0.6664779473999971,-87.10796288240249,1530988139,72,100,44,9.19
port alfred,za,-86.70977434801081,45.99568298659764,1530988139,-73.27,0,8,15.68
port-gentil,ga,-4.877846092448678,1.4006077259162453,1530988139,76.14,100,0,7.74
soro,in,21.2652727560901,86.52545796637867,1530988139,78.3,95,32,3.27
ilhabela,br,-26.083975111461747,-43.646748352421724,1530988140,73.8,99,0,16.8
buchanan,lr,3.9252617258860028,-11.47164199243818,1530988140,79.11,100,80,10.2
kapaa,us,24.262075209505653,-168.66063444739092,1530988140,78.39,100,20,23.06
sentyabrskiy,ru,46.0421394727683,150.031706065173,1530988140,47.07,100,36,4.61
luwingu,zm,-9.979863975892442,30.04898230015283,1530988140,65.43,48,0,7.4
faanui,pf,-16.04801373224568,-155.83552475281604,1530988140,81.27,99,88,11.21
bilibino,ru,73.97697930097186,164.64757045101362,1530988140,30.87,100,68,16.35
alta,no,69.74145811532469,23.512395201273023,1530985800,51.6,81,100,9.17
ambodifototra,mg,-17.629670420390383,52.55697396937995,1530988141,76.32,100,12,24.85
iqaluit,ca,64.8870727408279,-67.15029831077322,1530988141,39.78,91,0,3.6
cape town,za,-85.11322701770955,-12.685510007519582,1530988141,-61.21,0,12,21.05
anloga,gh,3.3207443317442937,1.5719256782488742,1530988141,78.12,100,36,6.51
poum,nc,-17.648306566234083,158.76714424855953,1530988141,75.6,100,24,11.54
mae hong son,th,20.237784595829154,98.62592454896628,1530988141,75.33,78,92,1.92
muroran,jp,42.18719573479518,140.8353611340603,1530988141,54.9,98,92,4.94
inuvik,ca,66.22476754406767,-133.76596894924165,1530988142,64.35,70,8,13.67
shitkino,ru,57.18132816994776,98.73850165703925,1530988142,52.65,89,88,2.59
puerto ayora,ec,0.0788479106642086,-102.93612088887093,1530988142,75.78,100,92,11.21
bolshaya martynovka,ru,47.16505334045294,41.4838750781978,1530988142,75.24,60,0,3.49
pisco,pe,-18.660365611751644,-81.57671432031127,1530988142,64.17,100,88,19.15
krasnoselkup,ru,63.46866083326907,83.9382673563905,1530988142,60.3,61,88,4.94
bilma,ne,21.89549367946786,15.350027811371802,1530988142,92.16,14,0,13.67
taolanaro,mg,-66.2757509743823,58.40815098074319,1530988142,-21.61,62,0,11.1
imeni poliny osipenko,ru,52.374060511724565,136.40198814781394,1530988143,59.49,99,92,2.93
aklavik,ca,71.02850827764215,-138.8010626221344,1530988143,35.82,95,76,19.71
leningradskiy,ru,76.18348608150592,178.61991534423976,1530988143,32.58,99,80,29.1
matay,eg,28.613313854102202,29.740158679358615,1530988143,90.54,22,0,6.62
shelburne,ca,39.284210872407414,-63.22587459746123,1530988143,71.91,100,92,4.38
magnitogorsk,ru,53.36918501821174,58.94270191923596,1530986400,73.4,56,40,8.95
mys shmidta,ru,89.44625522803867,-173.46975045237693,1530988143,32.13,100,68,21.05
chapleau,ca,47.944741008651334,-84.05860342851057,1530986400,71.65,68,20,6.93
yeppoon,au,-18.667742258514863,155.7067107929671,1530988144,75.87,99,8,8.75
kavieng,pg,-0.6562073200827427,151.35734732680748,1530988144,82.8,100,80,8.41
hami,cn,41.3105131841493,94.10440768437752,1530988144,58.41,20,0,3.04
benghazi,ly,32.16903631821715,18.76347008113828,1530988144,77.76,98,0,20.83
korla,cn,38.661000937852066,86.2847717669502,1530988144,73.8,38,20,10.42
avarua,ck,-17.60399774145239,-161.48045441907826,1530988144,76.77,100,80,27.87
weymouth,gb,50.338266191018874,-2.693159831715519,1530985800,78.8,50,0,8.05
bredasdorp,za,-89.03046254116344,23.406433305083,1530988144,-70.57,0,8,19.71
tasiilaq,gl,73.23273838559416,-41.110859211639166,1530988145,13.68,87,0,10.65
atambua,id,-7.895339595126487,128.08898942823595,1530988145,79.02,100,92,18.81
iroquois falls,ca,48.731120649051064,-80.45354963782191,1530986400,78.8,39,75,10.29
makat,kz,47.674868771813635,55.21520205858468,1530988145,92.34,23,88,11.32
mustang,us,35.42377253458325,-97.78371276300209,1530986160,88.32,58,1,9.17
sitka,us,53.734176414601905,-136.03180640438836,1530988145,55.35,100,88,10.2
ca mau,vn,8.790192904001728,103.15754775854458,1530988145,85.05,99,64,14.79
vostok,ru,52.634953803419506,147.7285595051934,1530988146,46.62,94,0,5.39
yellowknife,ca,62.39213338914152,-113.69648359579585,1530986400,53.6,62,75,11.41
sataua,ws,-8.144865567370957,-173.33190077503437,1530988146,80.37,100,44,12.44
torbay,ca,49.68992912503103,-45.12068588550966,1530988146,50.58,93,92,28.21
solovetskiy,ru,65.44676919198855,36.17511356844375,1530988146,53.28,92,92,11.21
saskylakh,ru,84.02364871100582,117.07883563126126,1530988146,32.85,96,76,22.39
eureka,us,41.34150418403269,-125.06480083389869,1530988146,55.8,91,0,14.23
maues,br,-3.7797154943218203,-56.874091419004216,1530988146,94.14,44,8,3.94
barentsburg,sj,83.87403357062772,-3.8021399573387953,1530988147,32.67,99,88,10.2
sao joao do paraiso,br,-14.97723975244567,-41.91341989334458,1530988147,78.57,49,0,9.64
viedma,ar,-44.543692797506544,-58.560189556311755,1530988147,43.65,98,24,8.19
ostrovnoy,ru,75.48735232293203,41.4908628663093,1530988147,39.15,98,92,10.2
san policarpo,ph,12.330311681209082,127.83063616772506,1530988147,84.15,100,20,6.85
jumla,np,30.28867698939264,83.34180244247773,1530988147,32.4,92,32,2.71
richards bay,za,-29.688013356290703,35.13928638267197,1530988147,68.58,100,76,15.12
kijaba,az,38.60305816076965,48.64636494043174,1530986400,71.31,69,75,3.36
halalo,wf,-15.246225299926493,-176.49782620542487,1530988148,77.94,100,24,22.73
belozerskoye,ru,56.19334366635891,65.75915963108673,1530988148,68.22,85,20,2.71
coos bay,us,42.459462261733904,-129.13676945867374,1530988148,60.3,98,48,8.63
bambous virieux,mu,-35.44576418455031,82.03579510467478,1530988148,57.6,100,92,23.51
karratha,au,-21.180711606725012,116.93592316919523,1530988148,46.17,49,0,6.17
luau,ao,-11.886065887538237,22.146405426535665,1530988148,67.95,41,0,8.52
malindi,ke,-4.002633585069475,41.21686042513366,1530988148,78.75,100,32,20.83
ayan,ru,55.4431297029129,138.31921417222338,1530988149,50.58,94,0,2.82
mahebourg,mu,-41.240097100692296,78.03060944223478,1530988149,50.85,100,92,44.87
nikolskoye,ru,48.94613569065609,172.25133682569827,1530988149,45.63,98,88,22.5
kupang,id,-13.918138657739448,122.68976894147085,1530988149,81.09,98,0,16.02
constitucion,mx,18.741670467821535,-118.4594872241162,1530988149,76.32,100,0,6.96
ponta do sol,cv,26.10269919485515,-30.038329980559297,1530988149,73.17,100,20,16.24
mount gambier,au,-43.3085867205172,137.83181937100306,1530988149,51.21,97,80,36.82
tsihombe,mg,-30.350975232811876,45.33338057640469,1530988150,64.71,100,56,16.24
haapiti,pf,-17.829143693877114,-150.51213426714685,1530988150,79.38,100,8,12.33
san vicente,ph,19.56043977663262,127.09108614727234,1530988150,82.98,100,76,7.18
santa barbara,co,5.844016529510057,-75.60281353142715,1530986400,77,56,75,11.41
astana,kz,50.57178843112584,70.91242623465834,1530986400,66.2,82,0,6.71
aguimes,es,26.581134958773873,-14.049776443730138,1530988150,82.98,47,0,18.37
bousso,td,10.575908664434735,17.289030430623086,1530988150,83.07,68,32,2.82
svetlogorsk,ru,67.65451562278079,94.52977485145112,1530988150,41.4,95,8,2.26
meulaboh,id,-2.378828817537652,89.01769893812508,1530988151,79.56,100,64,5.61
santiago del estero,ar,-28.042187827472574,-64.99223162681925,1530988151,56.43,62,12,8.63
carnarvon,au,-31.877859414393967,90.39695573195758,1530988151,63.27,100,48,21.05
tura,ru,68.27661492484967,99.50948443657455,1530988151,38.52,98,24,2.37
gobabis,na,-21.882783610618077,18.8120857657114,1530988151,50.4,69,0,10.2
achisay,kz,43.342617996594726,69.15407865577939,1530988151,83.07,16,0,16.24
rorvik,no,65.89551285927502,10.633066722236322,1530988151,52.65,98,92,10.98
port elizabeth,za,-87.93957710032828,38.360633253370736,1530988152,-70.84,0,8,17.36
hay river,ca,61.98254334758221,-115.78719504582928,1530988152,59.49,48,32,16.35
tome-acu,br,-2.233388552403028,-48.19099610985799,1530988152,88.38,58,76,4.72
lagoa,pt,43.277530934853274,-29.482914748759526,1530988152,65.7,100,68,21.27
cururupu,br,4.018134157661962,-41.48839089790437,1530988152,80.55,100,92,11.43
asau,tv,-16.31198931719743,178.7767953303508,1530988152,75.51,100,0,18.14
kaeo,nz,-31.666818658883003,174.2460609755148,1530988152,63.9,100,68,23.51
chirongui,yt,-14.558924352626306,45.01784871090422,1530988153,82.44,91,8,10.98
karasjok,no,69.14977361144096,27.23930511179333,1530985800,55.4,62,0,13.87
ribeira grande,pt,34.93423486974282,-33.01624747753405,1530988153,76.14,99,44,12.55
jiwani,pk,22.52112236962843,62.3042947277886,1530988153,81.99,100,8,25.97
aberdeen,us,45.47095664238978,-99.36899341388289,1530988153,88.2,62,0,18.92
ekhabi,ru,54.936808994131695,147.9479446807083,1530988153,46.35,95,44,10.65
port lincoln,au,-40.41523977977366,133.03048613400608,1530988153,53.1,100,88,23.73
east london,za,-63.227579827958806,44.92946477716325,1530988153,28.89,98,88,21.16
harper,lr,-1.3878614748468294,-6.793461688947616,1530988154,74.61,100,92,6.73
pringsewu,id,-6.484954494823512,103.07458218729278,1530988154,81.27,100,32,20.04
irtyshskiy,ru,58.70149882578963,68.02263442709588,1530988154,67.68,87,56,1.7
mariestad,se,58.58658845081146,14.134523797464993,1530985800,68,56,0,4.7
springfield,us,36.86273092911975,-86.91167333491457,1530987300,83.12,61,1,8.05
abu samrah,qa,23.216917818042617,48.865455907518,1530988154,88.47,38,24,3.94
hammerfest,no,73.70555837942311,22.97280457542567,1530988154,45.27,94,92,13.67
okhotsk,ru,58.00996058440816,144.17068329884194,1530988154,50.67,94,0,16.46
saleaula,ws,-3.0371499191892752,-167.7434376848564,1530988155,83.43,98,8,14.12
makakilo city,us,12.182027359821603,-163.5336564326255,1530988155,80.55,100,88,21.27
portland,au,-50.01920806745351,136.489012493364,1530988155,44.1,100,76,33.8
hervey bay,au,-24.032370294679183,156.0866399546769,1530988155,68.49,100,76,24.4
muscat,om,25.3974781720065,58.38066068281387,1530986400,89.6,79,0,4.7
manzil tamim,tn,36.34264292771694,12.221304732480263,1530982500,73.4,100,20,10.29
shaoyang,cn,27.337082103262787,111.10953892623002,1530988155,69.84,98,44,2.15
talnakh,ru,69.01345053165633,94.79383785893936,1530988155,38.88,100,88,2.59
timizart,dz,37.26840814694519,5.541242241518063,1530986400,80.6,69,40,17.25
yonago,jp,35.26736190244746,133.4722720155657,1530982800,68,88,75,4.7
playas,ec,-2.6058092685294554,-80.60140290322735,1530986400,73.4,83,75,11.41
ust-nera,ru,64.47926448022537,141.8976349022164,1530988156,58.95,83,36,2.04
louisbourg,ca,43.146101799944546,-59.48409408722226,1530988156,59.22,100,20,13.78
kalmunai,lk,6.739788014386505,85.5620408553317,1530988156,79.92,100,92,24.4
lufilufi,ws,-8.244411793692777,-168.70558918693456,1530988156,82.17,100,0,10.98
umm ruwabah,sd,12.934592924708696,31.33007988519367,1530988156,89.28,38,32,10.54
charters towers,au,-20.954906167244303,145.66343276196687,1530988157,55.98,42,0,13
yatou,cn,35.956314252141894,123.27625079632907,1530988157,74.07,99,36,10.76
college,us,67.62358368260146,-149.10613348365226,1530988157,62.01,72,0,2.71
floro,no,61.717498648964295,2.11802016377203,1530985800,59.92,72,44,8.05
tyukalinsk,ru,56.032669538623225,72.3237678083693,1530988157,69.3,61,48,9.31
sao joao da barra,br,-23.427477003592443,-37.96509369692615,1530988157,72.9,100,80,10.54
kedougou,sn,12.897621287542052,-12.147347636403026,1530988157,86.04,78,44,3.94
coihaique,cl,-48.15863549012719,-77.81442861748181,1530988158,48.24,95,0,13.89
hulja,ee,59.289982291839635,26.28036373740821,1530988158,68.76,63,76,6.73
luanda,ao,-9.64391626255643,6.734510672060026,1530988158,73.53,100,0,4.38
pangnirtung,ca,65.87343207368926,-59.91816001064079,1530988158,32.94,95,80,17.81
oussouye,sn,10.908044860414563,-19.49575137957217,1530988158,79.2,100,80,8.97
port keats,au,-13.054612507963071,128.9417836409466,1530988158,79.47,98,0,24.85
lunca de sus,ro,46.534635202912625,25.8919400638747,1530988158,59.85,96,76,1.92
javanrud,ir,34.587313022021405,46.18961492625914,1530988158,74.07,33,0,2.48
kodinar,in,20.92389975094501,70.58996658760842,1530988159,77.04,96,92,5.95
yenotayevka,ru,47.33306342166986,47.11360233713356,1530988159,77.58,55,0,5.28
san jose,gt,9.654728711173163,-91.97388658597514,1530988159,80.37,100,68,20.83
ilulissat,gl,78.59987168760338,-44.255900502650405,1530988159,12.15,100,32,6.4
atka,ru,60.965263615724524,151.04244306824393,1530988159,52.47,60,48,2.48
alzamay,ru,55.12484480774506,98.07242210333715,1530988159,41.31,96,20,2.15
sibu,my,2.479458277607989,110.94065538437508,1530988159,84.51,100,0,7.18
dawlatabad,af,37.31497921579114,63.85191186277186,1530988160,86.22,17,0,9.31
kuche,cn,42.11533037194178,82.71724499102265,1530988160,65.16,58,0,2.59
parfenyevo,ru,58.688392434409934,43.44786426480249,1530988160,58.95,98,64,2.93
ahipara,nz,-35.29026804776584,172.7945843075205,1530988160,61.38,95,48,30.33
safaga,eg,26.382297004257495,34.62709612908273,1530988160,83.88,94,0,2.15
yar-sale,ru,68.69237937024559,71.75939054128784,1530988160,58.05,99,92,4.72
seoul,kr,34.98685842790337,125.17633611026389,1530988160,72.54,100,48,12.88
shingu,jp,30.67682141842772,137.25792012605376,1530988160,80.55,98,92,11.65
tarauaca,br,-9.176563160865697,-71.23501988096129,1530988161,93.69,37,0,2.93
santa vitoria do palmar,br,-35.09196434371869,-50.47439640189364,1530988161,58.86,100,92,32.91
emmett,us,43.9590598681323,-116.70291513399941,1530987300,82.44,28,1,8.05
xining,cn,36.573078440869665,100.4860091588152,1530988161,44.91,100,0,3.38
ancud,cl,-40.4362054477831,-101.57782769734888,1530988161,55.53,91,20,24.85
alofi,nu,-25.217088177973295,-168.547057525697,1530988161,66.78,100,44,17.58
baranchinskiy,ru,58.19942492435939,59.41139724087972,1530988161,65.25,77,92,3.6
cacoal,br,-11.086313585356251,-61.117619928451916,1530988162,95.58,17,0,2.93
geraldton,au,-29.66227769575169,113.29540808977248,1530988162,66.96,100,0,17.58
ouro preto do oeste,br,-11.2917865426477,-62.67366936851673,1530988162,94.86,22,0,2.93
lodja,cd,-4.002178778997731,22.467177938713235,1530988162,78.48,41,0,5.61
blyth,gb,55.99454496202901,-0.530126148362001,1530988162,61.65,98,0,9.31
hovd,mn,43.342177983180676,100.85624562045217,1530988162,53.19,32,0,6.17
mayo,ca,64.64214942307402,-136.55569196233466,1530988162,56.52,65,0,3.15
marawi,sd,17.35193686798793,32.5090147955913,1530988162,88.47,29,0,2.15
cascais,pt,37.06398089450286,-13.56491100913081,1530988163,67.5,100,12,5.61
kaitangata,nz,-57.71715191720917,175.4805151418792,1530988163,43.11,98,92,29.1
lang son,vn,22.22808821877048,107.46253867671243,1530988163,75.24,100,92,4.16
tezu,in,32.80141549203209,97.0972432938712,1530988163,45.36,98,92,2.15
barra do garcas,br,-14.608887176689436,-52.604802533197585,1530988163,87.93,35,0,10.09
undory,ru,54.78382598001551,48.62631397852374,1530986400,66.2,88,12,2.24
chichli,in,22.788413362758206,78.77386786247348,1530988163,76.23,91,44,5.73
cortez,us,38.0859892617664,-108.58137914598935,1530986100,82.4,28,1,4.7
lar,ir,27.691781636683473,54.30519984533322,1530986400,98.6,22,0,9.17
mizan teferi,et,6.586127651484418,34.51404138490332,1530988164,76.41,81,92,2.37
campbell river,ca,51.08557823534758,-125.00069708598313,1530988164,40.68,84,92,0.69
challapata,bo,-19.365044449056356,-67.26795351957445,1530988164,56.97,91,8,5.5
hailey,us,44.739889300959675,-114.2625098976391,1530986160,79.65,22,1,4.7
palitana,in,21.568275963096625,71.77944816926711,1530988164,81.9,82,92,9.98
haukipudas,fi,65.45241385291638,25.040206458155495,1530985800,68.95,56,0,16.11
laguna,br,-40.30986339269782,-34.6378375565983,1530988165,52.74,100,48,25.19
tortoli,it,39.22314754990717,10.737499035846923,1530988165,76.68,96,44,14
gillette,us,43.65911982496837,-105.12724314434452,1530986100,87.8,31,0,5.82
roald,no,73.83698685775718,1.4217702718219982,1530988165,42.03,93,92,23.06
vondrozo,mg,-23.067448898558297,47.29955507045051,1530988165,64.08,95,92,5.61
svetlaya,ru,47.68618925367889,138.92880089501836,1530988165,50.31,100,0,2.04
byron bay,au,-28.576035228363523,158.30035863330892,1530988165,69.21,100,48,27.65
